IUPAC Name;Common Name;Abbreviation;Category;Inchi;SMILES;Function;Work_Voltage (V);Reference;HOMO_Pred (eV);LUMO_Pred (eV);DN_Pred (kcal/mol);DC_Pred
oxane;Tetrahydropyran;THP;Ethers;InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2;C1CCOCC1;WSE;4.5;ACS Energy Lett. 2023, 8, 4, 1752?1761(DOI:10.1021/acsenergylett.3c00181);-9.402856;1.783036;20.879768;5.394507
methyl 3,3,3-trifluoropropanoate;methyl 3,3,3-tri?uoropionate;M3FP(TFPM,3FMP);Other Esters;InChI=1S/C4H5F3O2/c1-9-3(8)2-4(5,6)7/h2H2,1H3;COC(=O)CC(F)(F)F;WSE;4.5;ACS Energy Lett. 2020, 5, 1438?1447(DOI:10.1021/acsenergylett.0c00643);-10.896791;1.507189;6.706076;10.477049
ethyl 3,3,3-trifluoropropanoate;Ethyl 3,3,3-trifluoropropanoate;TFPE(tFEP);Other Esters;InChI=1S/C5H7F3O2/c1-2-10-4(9)3-5(6,7)8/h2-3H2,1H3;CCOC(=O)CC(F)(F)F;WSE;4.6;Nat Commun 14, 1082 (2023)(DOI:10.1038/s41467-023-36853-x);-10.833820;1.553690;8.263773;22.828365
1,1,1-trifluoro-2-(2,2,2-trifluoroethoxy)ethane;Bis(2,2,2-trifluoroethyl) ether;BTFE;Ethers;InChI=1S/C4H4F6O/c5-3(6,7)1-11-2-4(8,9)10/h1-2H2;FC(F)(F)COCC(F)(F)F;Diluent;>4.5;Adv. Mater. 2018, 30, 1706102(DOI:10.1002/adma.201706102);-10.867477;1.586251;5.067930;11.319589
1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane;1,1,2,2-Tetrafluoroethyl-2,2,2-trifluoroethyl ether;HFE(D2,TFTFE,TTEE);Ethers;InChI=1S/C4H3F7O/c5-2(6)4(10,11)12-1-3(7,8)9/h2H,1H2;FC(F)C(F)(F)OCC(F)(F)F;Diluent;6.5;Nature Nanotech 13, 715?722 (2018)(DOI:10.1038/s41565-018-0183-2);-11.973361;1.557482;1.622535;8.075082
1,1,2,2-tetrafluoro-3-(1,1,2,2-tetrafluoroethoxy)propane;1,1,2,2-Tetrafluoro-3-(1,1,2,2-tetrafluoroethoxy)propane;TTE(FEPE);Ethers;InChI=1S/C5H4F8O/c6-2(7)4(10,11)1-14-5(12,13)3(8)9/h2-3H,1H2;FC(F)C(F)(F)COC(F)(F)C(F)F;Diluent;<5;J. Mater. Chem. A, 2023, 11, 4111-4125(DOI:10.1039/D2TA08404J);-11.811914;1.573241;2.449298;4.722608
1-ethoxy-1,1,2,2-tetrafluoroethane;Ethyl 1,1,2,2-tetrafluoroethyl ether;ETE(ETFE);Ethers;InChI=1S/C4H6F4O/c1-2-9-4(7,8)3(5)6/h3H,2H2,1H3;CCOC(F)(F)C(F)F;Diluent;<3.0;ACS Appl. Mater. Interfaces 2017, 9, 45, 39357?39370(DOI:10.1021/acsami.7b11566);-11.208636;1.675987;9.305553;11.959149
bis(2,2,2-trifluoroethyl) carbonate;Bis(2,2,2-trifluoroethyl) carbonate;BTFC(HFDEC,BTFEC,BTC,DTFEC);Linear Carbonates;InChI=1S/C5H4F6O3/c6-4(7,8)1-13-3(12)14-2-5(9,10)11/h1-2H2;O=C(OCC(F)(F)F)OCC(F)(F)F;Diluent;5.2;ACS Energy Lett. 2022, 7, 10, 3581?3592(DOI:10.1021/acsenergylett.2c01840);-11.615662;1.417601;-0.536826;12.214653
4,5-difluoro-1,3-dioxolan-2-one;Difluoroethylene carbonate;DFEC(F2EC);Cyclic Carbonates;InChI=1S/C3H2F2O3/c4-1-2(5)8-3(6)7-1/h1-2H;O=C1OC(F)C(F)O1;Diluent;4.5;Nano Energy 109 (2023) 108323(10.1016/j.nanoen.2023.108323)!Angew. Chem. Int. Ed. 2025, 64, e202510351(DOI:10.1002/ange.202510351);-12.148891;1.443107;4.226387;32.804797
2,2,3,3-tetrafluoro-1,4-dimethoxybutane;2,2,3,3-tetrafluoro-1,4-dimethoxybutane;FDMB;Ethers;InChI=1S/C6H10F4O2/c1-11-3-5(7,8)6(9,10)4-12-2/h3-4H2,1-2H3;COCC(F)(F)C(F)(F)COC;WSE;6.0;Nat Energy 5, 526?533 (2020)(DOI:10.1038/s41560-020-0634-5);-10.269287;1.593398;12.724581;17.9316
