IUPAC Name;Common Name;Abbreviation;Category;Inchi;SMILES;Function;Work_Voltage (V);Reference;HOMO_Pred (eV);LUMO_Pred (eV);DN_Pred (kcal/mol);DC_Pred;SASA(O/N,max);Num(13O);Num(14O);Num(15O)
ethoxyethane;Diethyl ether;DE(DEE2);Ethers;InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3;CCOCC;WSE;4.3;Nat Energy 6, 303?313 (2021)(DOI:10.1038/s41560-021-00783-z)!Nat Commun 14, 868 (2023)(DOI:10.1038/s41467-023-36647-1);-9.592795;1.868387;20.436148;4.665761;11.567288;0.000000;0.000000;0.000000
1,4-dioxane;1,4-Dioxane;1,4-DX(DIOX);Ethers;InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2;C1COCCO1;WSE;1.2;Angew. Chem. Int. Ed. 2021, 60, 4090 ? 4097(DOI:10.1002/anie.202011482);-9.279329;1.739109;19.485973;2.380003;45.471376;0.000000;0.000000;0.000000
oxolane;Tetrahydrofuran;THF;Ethers;InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2;C1CCOC1;WSE;4;EnergyStorageMaterials50(2022)47–54(DOI:10.1016/j.ensm.2022.05.005)!J. Am. Chem. Soc. 2025, 147, 7, 5962?5970(DOI:10.1021/jacs.4c16076);-9.462263;1.793427;20.833917;6.250656;50.502530;0.000000;0.000000;0.000000
methylsulfinylmethane;Dimethylsulphoxide;DMSO;Sulfones/Sulfoxides;InChI=1S/C2H6OS/c1-4(2)3/h1-2H3;CS(C)=O;CDE;;;-9.049727;1.508448;22.371864;32.63973;107.784691;0.000000;0.000000;0.000000
acetonitrile;Acetonitrile;ACN(ATN,AN,CAN);Nitriles;InChI=1S/C2H3N/c1-2-3/h1H3;CC#N;CDE;;;-12.040573;1.732490;17.665546;30.097835;164.630508;0.000000;0.000000;0.000000
diethyl carbonate;diethyl carbonate;DEC;Linear Carbonates;InChI=1S/C5H10O3/c1-3-7-5(6)8-4-2/h3-4H2,1-2H3;CCOC(=O)OCC;CDE;;;-10.906187;1.601440;12.403446;2.554283;40.767915;3.000000;0.000000;0.000000
ethyl methyl carbonate;ethyl methyl carbonate;EMC;Linear Carbonates;InChI=1S/C4H8O3/c1-3-7-4(5)6-2/h3H2,1-2H3;CCOC(=O)OC;CDE;;;-10.958123;1.558352;11.742461;2.558874;48.411373;3.000000;0.000000;0.000000
1,3-dioxolan-2-one;ethylene carbonate;EC;Cyclic Carbonates;InChI=1S/C3H4O3/c4-3-5-1-2-6-3/h1-2H2;O=C1OCCO1;CDE;;;-11.108426;1.475930;10.901730;75.577247;142.092548;0.000000;0.000000;0.000000
4-methyl-1,3-dioxolan-2-one;propylene carbonate;PC;Cyclic Carbonates;InChI=1S/C4H6O3/c1-3-2-6-4(5)7-3/h3H,2H2,1H3;CC1COC(=O)O1;CDE;;;-11.110003;1.512379;12.443214;70.437231;139.678941;0.000000;0.000000;0.000000
dimethoxymethane;Dimethoxymethane;DMM;Ethers;InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3;COCOC;WSE;3.7;Angew. Chem. Int. Ed. 2022, 61, e202207927(DOI:10.1002/ange.202207927);-10.011013;1.712619;18.570390;4.208518;35.500929;1.000000;0.000000;0.000000
