IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
1-methoxypropan-2-yl acetate;1-Methoxy-2-propyl acetate;MPA;InChI=1S/C6H12O3/c1-5(4-8-3)9-6(2)7/h5H,4H2,1-3H3;COCC(C)OC(C)=O;2.610;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-fluoroethyl propanoate;2-Fluoroethyl propionate;2FEP;InChI=1S/C5H9FO2/c1-2-5(7)8-4-3-6/h2-4H2,1H3;CCC(=O)OCCF;2.450;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl 2-fluoropropanoate;Ethyl 2-fluoropropanoate;E2FP;InChI=1S/C5H9FO2/c1-3-8-5(7)4(2)6/h4H,3H2,1-2H3;CCOC(=O)C(C)F;2.760;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
methyl butanoate;Methyl butyrate;MB;InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3;CCCC(=O)OC;1.639;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
chloromethyl butanoate;Chloromethyl butyrate;CIMB;InChI=1S/C5H9ClO2/c1-2-3-5(7)8-4-6/h2-4H2,1H3;CCCC(=O)OCCl;2.390;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethyl butanoate;Ethyl butyrate;EB;InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3;CCCC(=O)OCC;1.597;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
oxolan-2-one;gamma-Butyrolactone;GBL;InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2;O=C1CCCO1;2.472;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
3-fluorooxolan-2-one;2-Fluorobutyrolactone;FGBL;InChI=1S/C4H5FO2/c5-3-1-2-7-4(3)6/h3H,1-2H2;O=C1OCCC1F;3.718;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
oxan-2-one;Delta-Valerolactone;DVL;InChI=1S/C5H8O2/c6-5-3-1-2-4-7-5/h1-4H2;O=C1CCCCO1;2.285;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-ethoxypropane;1-Ethoxypropane;EPE;InChI=1S/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3;CCCOCC;1.750;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
dimethoxymethane;Dimethoxymethane;DMM;InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3;COCOC;2.450;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,2-dimethoxyethane;1,2-Dimethoxy ethane(monoglyme);DME(C2,EGDME);InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3;COCCOC;1.660;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-ethoxy-2-methoxyethane;1-Ethoxy-2-methoxyethane;EME;InChI=1S/C5H12O2/c1-3-7-5-4-6-2/h3-5H2,1-2H3;CCOCCOC;1.774;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-(2-fluoroethoxy)-2-methoxyethane;1-(2-Fluoroethoxy)-2-methoxyethane;FEME;InChI=1S/C5H11FO2/c1-7-4-5-8-3-2-6/h2-5H2,1H3;COCCOCCF;2.368;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,1-difluoro-2-(2-methoxyethoxy)ethane;1,1-Difluoro-2-(2-methoxyethoxy)ethane;DFEME;InChI=1S/C5H10F2O2/c1-8-2-3-9-4-5(6)7/h5H,2-4H2,1H3;COCCOCC(F)F;2.474;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,1,1-trifluoro-2-(2-methoxyethoxy)ethane;1-(2,2,2-Trifluoroethoxy)-2-methoxyethane;TFEME;InChI=1S/C5H9F3O2/c1-9-2-3-10-4-5(6,7)8/h2-4H2,1H3;COCCOCC(F)(F)F;2.175;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,2-diethoxyethane;1,2-Diethoxyethane;DEE(EGDEE);InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3;CCOCCOCC;1.863;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-ethoxy-2-(2-fluoroethoxy)ethane;1-(2-Fluoroethoxy)-2-ethoxyethane;EFEE(F1DEE);InChI=1S/C6H13FO2/c1-2-8-5-6-9-4-3-7/h2-6H2,1H3;CCOCCOCCF;2.381;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-(2-ethoxyethoxy)-1,1-difluoroethane;1-(2,2-Difluoroethoxy)-2-ethoxyethane;EDFEE(F2DEE);InChI=1S/C6H12F2O2/c1-2-9-3-4-10-5-6(7)8/h6H,2-5H2,1H3;CCOCCOCC(F)F;2.479;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-(2-ethoxyethoxy)-1,1,1-trifluoroethane;1-Ethoxy-2-(2,2,2-trifluoroethoxy)ethane;ETFEE(F3DEE);InChI=1S/C6H11F3O2/c1-2-10-3-4-11-5-6(7,8)9/h2-5H2,1H3;CCOCCOCC(F)(F)F;2.215;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-methyloxolane;2-Methyl tetrahydrofurane;2-Me-THF(M-THF);InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3;CC1CCCO1;2.710;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,3-dioxolane;1,3-dioxolane;DOL(1,3-DL);InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2;C1COCO1;2.909;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
4-methyl-1,3-dioxolane;4-Methyl-1,3-dioxolane;4Me-DOL;InChI=1S/C4H8O2/c1-4-2-5-3-6-4/h4H,2-3H2,1H3;CC1COCO1;3.860;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-methyl-1,3-dioxolane;2-Methyl-1,3-dioxolane;2Me-DOL;InChI=1S/C4H8O2/c1-4-5-2-3-6-4/h4H,2-3H2,1H3;CC1OCCO1;3.097;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
dimethyl sulfite;dimethyl sulfite;DMS;InChI=1S/C2H6O3S/c1-4-6(3)5-2/h1-2H3;COS(=O)OC;3.739;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
diethyl sulfite;diethyl sulfite;DES;InChI=1S/C4H10O3S/c1-3-6-8(5)7-4-2/h3-4H2,1-2H3;CCOS(=O)OCC;3.692;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1,3,2-dioxathiolane 2-oxide;Ethylene sulfite;ES;InChI=1S/C2H4O3S/c3-6-4-1-2-5-6/h1-2H2;O=S1OCCO1;4.885;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
4-methyl-1,3,2-dioxathiolane 2-oxide;Propylene sulfite;PS;InChI=1S/C3H6O3S/c1-3-2-5-7(4)6-3/h3H,2H2,1H3;CC1COS(=O)O1;4.977;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-fluoro-2-methylsulfonylbenzene;1-Fluoro-2-(methylsulfonyl)benzene;FS;InChI=1S/C7H7FO2S/c1-11(9,10)7-5-3-2-4-6(7)8/h2-5H,1H3;CS(=O)(=O)c1ccccc1F;1.626;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
